#,¿En qué rango de edad te encuentras?,¿Cuántas personas sois en vuestro hogar?,¿En qué provincia vives? Vamos a conocernos un poco mejor 😄,¿De cuál de estos temas te interesaría saber más?,¿Cuánto duran tus duchas?,¿Cuántas veces pones la lavadora a la semana?,¿Cuántas veces pones el lavavajillas?,¿Sueles poner el modo *ECO *en tus electrodomésticos?,¿Reciclas agua para usarlo en otras tareas?,"¿*Reciclas *vidrio, cartón y plástico?",¿Cada cuánto consumes *carne*?,¿Cuántos km haces a la semana en coche?,¿Cuánto gastas al mes en comida para gato/perro?,¿Cuántos metros cuadrados tiene tu jardín?,¿Sabes cuánto dinero gastas en tu consumo de agua al mes?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
2qpdp3h7tchm6jjj5o8yp2qpdp3h7fz1,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 12:50:40,2023-05-16 12:52:19,0443d3f5d9,
ksuwitfshkyf3as1gat9ksuwi2k8ls2z,Entre 18 y 35 años,2,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 12:47:38,2023-05-16 12:49:03,aaa1e6d7da,
hdrj82mvsmh0edkf26nd44hdrj82mdej,Entre 18 y 35 años,3,Gipuzkoa,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2023-05-16 12:43:14,2023-05-16 12:44:35,21639c9a4f,
eaas8jntuizcy76033eaas8jnb4ev8z7,Entre 36 y 65 años,3,Cádiz,Ahorrar dinero,Entre 11 y 15 minutos,Más de 5,Friego a mano,No sabía que existía ese modo,No,Nunca!,1 vez cada 3 días,No uso coche,Menos de 50 €,0,Más de 40 €,2023-05-16 12:42:22,2023-05-16 12:43:43,998dc268c0,
i4ip4bxd93vmroii4k3k6j88ani9d4fn,Entre 36 y 65 años,5,Asturias,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 12:40:09,2023-05-16 12:41:47,b0a2ad4ab6,
wmgdiu9o0rabpejnxwmga4jd4hoa5w3u,Entre 36 y 65 años,5,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,100 - 200 km,Menos de 50 €,60,Más de 40 €,2023-05-16 12:37:47,2023-05-16 12:39:09,afd4f1aa30,
kikeo5ycay66lrnxbkiqaljy6zo65sky,Entre 18 y 35 años,4,Madrid,Conocer mi huella hídrica,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Más de 40 €,2023-05-16 12:37:34,2023-05-16 12:38:55,2a4236efac,
bmyyabi2zmagxjghbmyyxkvkmyq0mirt,Entre 36 y 65 años,2,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez a la semana,No uso coche,No tengo mascota,,Entre 10€ y 40 €,2023-05-16 12:35:20,2023-05-16 12:36:52,640b319526,
aeql4uhhywnc0zt9ml8yf1aeql4uhgqm,Entre 18 y 35 años,4,Cantabria,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Menos de 10 €,2023-05-16 12:34:55,2023-05-16 12:36:19,b1efe0a66f,
l05p8srdasarvb1l05p0afeq5zbenezs,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,Ojalá tener,Ni idea!,2023-05-16 12:33:06,2023-05-16 12:35:26,23c56cd279,
jolkuol5z3mjrjtjolkuo7vx7sadp3vd,Entre 18 y 35 años,5,Barcelona,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,Siempre,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!,2023-05-16 12:32:23,2023-05-16 12:32:44,b164381b3e,
9vy19hgw5y9ng6piqmrl9vy19hgelpoy,Entre 36 y 65 años,2,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,No tengo jardín,Ni idea!,2023-05-16 12:27:15,2023-05-16 12:31:51,b625a2ef15,
mbijojigdo7a4s8irhdmbijoj8zfltts,Entre 18 y 35 años,1,Almería,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 12:29:48,2023-05-16 12:31:43,5e76a26e0f,
z0c6fpambpdznz0c6f3ankjyy31acshc,Entre 18 y 35 años,4,Madrid,Conocer mi huella hídrica,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,15,Más de 40 €,2023-05-16 12:25:51,2023-05-16 12:29:18,c6424a9b47,
f9e0l1fazzdwth9yhp962jf9e0l1bc6d,Entre 18 y 35 años,2,Alicante,Ahorrar dinero,Más de 15 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,300,Más de 40 €,2023-05-16 12:25:47,2023-05-16 12:28:29,0e6dc8eff7,
u034dhl5p6m5pq75786u034dtgffxg3n,Entre 36 y 65 años,6,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,1 vez al día,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,500,Más de 40 €,2023-05-16 12:24:26,2023-05-16 12:26:15,bdd7b10758,
b14jvmf08gpdq3nac587b14jvmfgzpya,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Ni idea!,2023-05-16 12:21:23,2023-05-16 12:23:26,a45bdd2b97,
dc7ekguk2p3ozslaagdc7elt79coo0mm,Entre 18 y 35 años,3,Madrid,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Nunca!,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 12:21:16,2023-05-16 12:22:58,7711dd55ab,
6203ksps0yfwg8a9o1pa6203ki6l0km9,Entre 36 y 65 años,4,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,1 vez al día,A veces,No,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,0,Más de 40 €,2023-05-16 12:13:11,2023-05-16 12:14:50,29d98276ec,
k3e31lbk5hjcmk3e31dpvb2bpc4zdt2p,Entre 18 y 35 años,3,Segovia,Conocer mi huella hídrica,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,A veces,1 vez al día,No uso coche,Más de 100 €,0,Ni idea!,2023-05-16 12:12:11,2023-05-16 12:14:02,e1db8f4559,
0kww5cgpkwam0680kw700kqjcmge604p,Entre 36 y 65 años,1,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Si,Siempre,1 vez al día,Menos de 100 km,Entre 50 y 100 €,10,Entre 10€ y 40 €,2023-05-16 12:12:28,2023-05-16 12:13:50,d52280bf73,
nvbk1igsw6t32snt9qgj6f52gnvbk1ig,Entre 36 y 65 años,4,Madrid,Ahorrar dinero,Más de 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Más de 40 €,2023-05-16 12:10:12,2023-05-16 12:11:42,8b3f9f9244,
816n2q82joo2uh3j4d1k816n2r9wbbv7,Mayor de 65 años,1,A Coruña,Conocer mi huella hídrica,Entre 11 y 15 minutos,Más de 5,Friego a mano,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,Más de 200 km,Más de 100 €,100,Entre 10€ y 40 €,2023-05-16 12:08:47,2023-05-16 12:10:04,5e772b3477,
7x1qng5kvkuh27b7x1q2151il5mmbwuq,Entre 36 y 65 años,4,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!,2023-05-16 12:07:19,2023-05-16 12:09:09,ba62a97a55,
kgfkzrwdifwp7fn4vkgeh1tfdwhq2kws,Entre 36 y 65 años,5,Madrid,Ahorrar dinero,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,No sabía que existía ese modo,No,Nunca!,1 vez a la semana,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 12:06:05,2023-05-16 12:07:51,6c0089c4f9,
tvr4w2o8fmyit3j8sztvr4w23gxxfx5x,Entre 18 y 35 años,3,Madrid,Conocer mi huella hídrica,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,A veces,1 vez al día,Más de 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €,2023-05-16 11:57:31,2023-05-16 12:02:52,adc183527a,
fgwwabxkti6hvs1bjn7fgwwabxph7zmr,Entre 18 y 35 años,4,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 11:54:03,2023-05-16 11:59:24,a2c1b4b956,
hf2ao9dlukff34la4whf2i5ff9a7ggyp,Entre 36 y 65 años,5,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,A veces,1 vez cada 3 días,No uso coche,No tengo mascota,0,Más de 40 €,2023-05-16 11:52:27,2023-05-16 11:54:36,adc183527a,
9livq7vwonyycy9livq78hsu1lrh0sui,,,A Coruña,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Más de 200 km,Más de 100 €,,,2023-05-15 18:32:24,2023-05-15 18:36:08,c0b7876eaf,
fdxhp3nq3athhd2hfdjhis7w5bbpno8m,,,Albacete,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,No,Nunca!,1 vez a la semana,100 - 200 km,Entre 50 y 100 €,,,2023-05-15 18:22:50,2023-05-15 18:24:44,c0b7876eaf,
